Id,Sales
1,3195358.4951413106
2,3187009.488497568
3,3178660.481853825
4,3170311.4752100823
5,3198086.836086024
6,3191826.399572594
7,3183477.3929288513
8,3175128.386285108
9,3166779.377501823
10,3158430.37085808
11,3150081.3642143374
12,3177977.0172484186
13,3171716.5807349873
14,3164292.732547052
15,3155943.7259033103
16,3147594.7192595676
17,3139245.7126158243
18,3130887.1483335663
19,3158662.509209508
20,3152402.072696077
21,3144053.066052335
22,3135704.059408592
23,3127355.0527648497
24,3119006.046121107
25,3110657.0394773637
26,3138552.6925114454
27,3132292.2559980145
28,3124063.54151241
29,3115724.0946467267
30,3107375.0880029835
31,3099026.0813592407
32,3090677.0747154984
33,3118452.43559144
34,3112191.999078009
35,3103842.992434267
36,3095493.985790524
37,3087144.9791467814
38,3078795.9725030386
39,3070446.965859296
40,3098342.6167538343
41,3092082.1802404034
42,3083853.465754799
43,3075504.459111057
44,3067155.4524673144
45,3058806.4458235716
46,3050457.4391798293
47,3078232.8000557707
48,3071972.3635423398
49,177440593.73640007
50,177432244.72975633
51,177423895.72311255
52,177415546.71646884
53,177443322.07734478
54,177437061.64083135
55,177428712.63418764
56,177420363.62754384
57,177412014.6187606
58,177403665.6121168
59,177395316.6054731
60,177423212.25850716
61,177416951.82199374
62,177408723.10750815
63,177400374.1008644
64,177392025.09422067
65,177383676.0875769
66,177375317.52329466
67,177403092.8841706
68,177396832.44765717
69,177388483.44101346
70,177380134.43436965
71,177371785.42772594
72,177363436.4210822
73,177355087.41443846
74,177382983.06747255
75,177376722.63095906
76,177368493.91647348
77,177360154.46960783
78,177351805.46296406
79,177343456.45632035
80,177335107.44967657
81,177362882.8105525
82,177356622.3740391
83,177348273.36739534
84,177339924.36075163
85,177331575.35410786
86,177324031.21376178
87,177315682.20711806
88,177342772.99171492
89,177336512.55520147
90,177329088.70701355
91,177320739.7003698
92,177312390.69372606
93,177304041.68708232
94,177295692.68043858
95,177322663.17501685
96,177316402.73850343
97,14405151.487978624
98,14413500.494622367
99,14421849.501266109
100,14430198.507909853
101,14402423.14703391
102,14408683.58354734
103,14417032.590191085
104,14425381.596834825
105,14433730.605618112
106,14442079.612261854
107,14450428.618905598
108,14422532.965871515
109,14428793.402384944
110,14437022.11687055
111,14445371.123514293
112,14453720.130158035
113,14462069.13680178
114,14470427.701084036
115,14442652.340208093
116,14448912.776721526
117,14456456.917067599
118,14464805.92371134
119,14473154.930355083
120,14481503.936998827
121,14489852.94364257
122,14462762.156906158
123,14469022.59341959
124,14476446.441607522
125,14484785.888473205
126,14493134.895116951
127,14501483.901760692
128,14509832.908404434
129,14482862.413826162
130,14489122.850339593
131,14496666.990685666
132,14505015.99732941
133,14513365.003973152
134,14521714.010616895
135,14530063.017260637
136,14502972.23266377
137,14509232.669177199
138,14516656.517365133
139,14525005.524008878
140,14533354.53065262
141,14541703.53729636
142,14550052.543940105
143,14523082.04936183
144,14529342.485875262
145,4129912.712783806
146,4138261.719427548
147,4146610.7260712907
148,4154959.7327150335
149,4127184.3718390916
150,4133444.8083525226
151,4141793.8149962653
152,4150142.8216400086
153,4158491.8304232936
154,4166840.8370670355
155,4175189.8437107783
156,4147294.190676697
157,4153554.6271901284
158,4161783.3416757323
159,4170132.348319475
160,4178481.354963218
161,4186830.36160696
162,4195188.925889218
163,4167413.5650132764
164,4173674.0015267073
165,4181218.141872782
166,4189567.1485165246
167,4197916.155160266
168,4206265.161804008
169,4214614.168447751
170,4187523.38171134
171,4193783.8182247705
172,4201207.666412706
173,4209547.11327839
174,4217896.119922132
175,4226245.126565875
176,4234594.133209618
177,4207623.638631344
178,4213884.075144775
179,4221428.215490849
180,4229777.222134592
181,4238126.228778334
182,4246475.235422076
183,4254824.242065819
184,4227733.45746895
185,4233993.893982381
186,4241417.742170316
187,4249766.7488140585
188,4258115.755457802
189,4266464.762101545
190,4274813.768745286
191,4247843.274167013
192,4254103.710680444
193,6855268.589556311
194,6846919.582912568
195,6838570.576268825
196,6830221.569625082
197,6857996.930501025
198,6851736.493987595
199,6843387.4873438515
200,6835038.480700108
201,6826689.471916823
202,6818340.465273079
203,6809991.458629337
204,6837887.111663419
205,6831626.675149987
206,6823397.960664384
207,6815048.954020641
208,6806699.947376898
209,6798350.940733156
210,6789992.376450897
211,6817767.737326839
212,6811507.300813409
213,6803158.294169665
214,6794809.287525923
215,6786460.280882181
216,6778111.274238437
217,6769762.267594696
218,6797657.920628776
219,6791397.484115345
220,6783168.769629742
221,6774829.322764058
222,6766480.316120315
223,6758131.309476572
224,6749782.302832829
225,6777557.663708772
226,6771297.227195341
227,6762948.220551599
228,6754599.213907856
229,6746250.207264112
230,6738706.066918039
231,6730357.0602742955
232,6757447.844871166
233,6751187.408357735
234,6743763.560169799
235,6735414.553526057
236,6727065.546882314
237,6718716.540238571
238,6710367.533594829
239,6737338.028173102
240,6731077.591659672
241,1412772.5335568716
242,1404423.5269131288
243,1396074.5202693865
244,1387725.5136256434
245,1415500.874501586
246,1409240.437988155
247,1400891.4313444123
248,1392542.42470067
249,1384193.415917384
250,1375844.4092736412
251,1367495.4026298989
252,1395391.0556639798
253,1389130.619150549
254,1380901.9046649453
255,1372552.8980212025
256,1365008.7576751283
257,1356659.751031386
258,1348301.1867491272
259,1376076.5476250695
260,1369816.111111639
261,1361467.1044678963
262,1353118.0978241535
263,1344769.0911804107
264,1336420.084536668
265,1328071.0778929254
266,1355966.7309270063
267,1349706.2944135754
268,1341477.579927972
269,1333138.1330622875
270,1324789.1264185447
271,1316440.1197748021
272,1308091.1131310593
273,1335866.4740070014
274,1329606.037493571
275,1321257.0308498284
276,1312908.0242060854
277,1304559.0175623428
278,1296210.0109185998
279,1287861.0042748568
280,1315756.6551693957
281,1309496.2186559648
282,1301267.5041703612
283,1292918.4975266182
284,1284569.4908828754
285,1276220.484239133
286,1267871.47759539
287,1295646.8384713323
288,1289386.4019579017
289,183828355.29796785
290,183820006.2913241
291,183811657.28468034
292,183803308.2780366
293,183831083.63891256
294,183824823.2023991
295,183816474.1957554
296,183808125.18911165
297,183799776.18032834
298,183791427.17368463
299,183783078.16704085
300,183810973.82007495
301,183804713.38356152
302,183796484.6690759
303,183788135.66243216
304,183779786.65578845
305,183771437.64914468
306,183763079.0848624
307,183790854.44573838
308,183784594.00922492
309,183777049.86887887
310,183768700.86223513
311,183760351.85559136
312,183752002.84894764
313,183743653.8423039
314,183770744.6290403
315,183764484.19252688
316,183757060.34433892
317,183748720.89747325
318,183740371.89082953
319,183732022.8841858
320,183723673.87754202
321,183750644.3721203
322,183744383.93560687
323,183736839.79526082
324,183728490.78861704
325,183720141.7819733
326,183711792.7753296
327,183703443.76868582
328,183730534.5532827
329,183724274.11676925
330,183716850.26858133
331,183708501.2619376
332,183700152.25529385
333,183691803.2486501
334,183683454.24200633
335,183710424.73658463
336,183704164.3000712
337,241219263.2231444
338,241210914.21650067
339,241202565.2098569
340,241194216.20321316
341,241221991.5640891
342,241215731.12757567
343,241207382.12093195
344,241199033.11428818
345,241190684.1055049
346,241182335.0988612
347,241173986.09221742
348,241201881.7452515
349,241195621.30873808
350,241187392.59425247
351,241179043.58760872
352,241170694.58096498
