0,Muito bom ajuda muito
0,excelente
0,Bom
0,aplicativo muito top
0,Fácil e prático
0,muito bom
0,E mais pratico porem quando precisa sair tem que voltar ate a tela inicial!
0,app nota dez..
0,Melhorou muito com as correções e atualizações. Continuem evoluindo
0,otimo
0,praticidade
0,e muito do 🏦😇😇😇
0,Até o momento está me atendendo.
0,Sempre satisfeita com atendimento
0,"Excelente,atende a todas as minhas necessidades, além de ser prático e de fácil manuseio."
0,Excelente aplicativo. Contém todas as informações da conta e é de fácil manuseio.
0,bom
0,top
0,top
1,"eu recebo meu salário há anos,e nunk tive um benefício se quer! o Banco preconceituoso"
1,"Bom dia! alguém pode me ajudar,quando eu coloco agência no aplicativo não vai,da agência inválida?"
0,"Muito bom e fácil de manusear, tudo nas mãos com todo conforto."
0,funcional
0,ótimo
0,gosto muito do aplicativo
0,prático. muito bom. parabéns.
0,"um ótimo app ficou bem melhor, parabéns a equipe."
0,não sei
0,muito prático adorei.
1,custei aderir mas achei muito bom. as vezes tenho problema na hora de transferir.
0,ótimo
0,muito bom!
0,Ótimo
0,Bom
0,top
0,sendo boa
1,"Depois da atualização disponibilizada, não funcionam: Nem BB Code e nem o leitor de código de barras."
0,"excelente!resolvo tudo de casa mesmo,era tudo que eu mais precisava."
0,O app do bb está cada vez melhor
0,É ótimo
0,"O App é muito útil, eficaz e já me tirou do sufoco várias vezes. Parabéns!"
0,muito bom
0,Ótimo!
0,Excelente
0,Um ótimo app por ser prático e fácil na hora de mexer 👊
0,"Muito prático, consigo resolver tudo com ele."
0,App muito bom. Corresponde as minhas necessidades.
0,ótimo
0,otimo
0,bom
0,gostei
0,Bom
1,E otimo mais as vezes nao manda mensagem avisando se algum valor cair na conta ou a movimentacao.
0,otima
0,saldos xestratos
0,para minha pessoa está bom supre minhas necessidades.
0,"Faz ano que uso o app do BB, nada a reclamar só a elogiar."
0,🤗
0,muito bom
0,ótimo trabalho
0,Faço todas as coisas sem precisar ir no Banco
0,esse app é ótimo
0,parabéns App BB e ótimo
0,excelente
1,"o Banco do Brasil e seus produtos são péssimos, e esse app não é diferente."
0,excelente. uso desde 2014 e recomendo.
0,ótimo
0,muito bom
0,"Aplicativo muito bom e até então muito seguro, não tenho nada que reclamar contra, sempre me serviu da melhor forma possível."
0,"Fantástico! Rápido, fácil e muito funcional."
0,muito bom
0,exelente aplicativo
0,Ótimo App
0,pratico
0,muito bom
1,"Poderia ter um mecanismo de bloquear e desbloquear o cartão de crédito,pois o cartão das casas Bahia trabalha desta forma."
0,muito mais fácil e simples de resolver.
0,excelente
0,To gostando abrir a cobra essa semana mas to gostando muito
0,ótimo
1,e bom mais demora muito para abrir
0,Bom
0,bom
0,muito bom
1,Algumas coisas ficaram confusas nos menus.
1,Difícil é fazer todos os recursos funcionarem. Mas talvez o problema seja do banco e não do app..
0,boa
0,OK
0,"Bom aplicativo, recomendo!"
0,"super reconendo,muito pratico!"
0,Muito Top este Aplicativo do BB. Eu gostei e dou nota MIL pelo app e pelo ATENDIMENTO parabéns a todos os responsáveis por este ótimo trabalho.
0,Muito bom o App.
0,Bom aplicativo
0,ótimo
0,Fácil de manusear e bem interativo
0,facilidade em minhas mãos!
0,ótimo
0,excelente
0,sempre é muito ágil
0,"App é legalzinho! Facilita um pouco a vida, só de não precisar ir no banco ver saldo"
0,sem problemas e intuitivo.
0,summo
0,Ótimo aplicativo estou gostando bastante.
0,show
0,Ótimo serviço
0,amo o app
0,aplicativo muito bom
1,ja baixei nao da certo; fica dando erro 503 preciso fazer tranferencia e movimenta a conta mas não da certo.... nao tenho tempo de ir no banco pqe trabalho longe da cidade esse app nao me ajudou em nada... nem o 0800 qe so fala qe vai manda um codigo pra mim pegar no sac sem mas nunca chega este cod…
0,muito bom gostei muito recomendo a istalar
0,Muito bom
0,Ótimo atendimento
0,muito bom.
1,não consigo pagar contas acima de 800.00....
0,maravilhoso estar nesse Banco...super prático.....pena eu não ter mais grana.....
1,Muito insatisfeito.. estou com um problema na conta a quase um mes e não consigo resolver....
0,muito bom
0,", p0"
0,Gostei×
0,muito bom
1,"Ótimo para os dias atuais onde temos cada vez menos tempo de ir até a agência física. Tem apenas um ponto negativo, mas que não baixa minha avaliação, o limite de transferência é baixo."
0,Melhorou.... aumentei 1 estrela
0,Atende minhas necessidades
0,Atende a todas as nossa expetativas na hora que mais precisamos. Parabéns!
0,Gosto muito 😘
0,poderia me informar qual o e-mail do BB ? O aplicativo não tem chat e preciso resolver um problema no aplicativo.
